Name   	 Mass (hand)  	 Miss (hand) 	 Mass (alg)  	 Miss (alg) 	 dV
GS103+07-018*   	      85400.0 	      82800.0 	      25244.5 	     252789.6 	      20600.0 
GS116-06-042*   	      24900.0 	      18900.0 	       6425.4 	      60033.5 	      16500.0 
GS093-14-021*   	      88800.0 	      45000.0 	      23046.3 	     150865.1 	      22700.0 
GS120+16-067*   	      65400.0 	      37900.0 	       9063.5 	      48442.4 	      22700.0 
GS109+06-032   	      25000.0 	      16500.0 	       4138.8 	      43290.2 	      20600.0 
GS098-25-018*   	      10800.0 	      10800.0 	       3008.7 	      13313.2 	      21600.0 
GS100+09-040*   	      53400.0 	      29900.0 	      17844.1 	      95595.9 	      14400.0 
GS093+11-034*   	      25400.0 	      12800.0 	       1123.2 	      20567.0 	      19600.0 
GS098+24-032   	       9550.0 	       8060.0 	       1563.1 	      26485.1 	      27800.0 
GS101-13-056*   	     240000.0 	     169000.0 	      67561.0 	     178649.9 	      36100.0 
GS105-03-061   	     224000.0 	     124000.0 	      23846.2 	      71795.1 	      16500.0 
GS110-04-067   	      78000.0 	      71500.0 	      13419.7 	     118053.1 	      32000.0 
GS108+00-075*   	      46700.0 	      28600.0 	       6307.0 	     111132.7 	      18600.0 
GS117+08-076*   	      54900.0 	      39200.0 	       6170.7 	     123910.5 	      19600.0 
GS202+05+031   	      17400.0 	       9220.0 	       4030.3 	      89996.2 	      20600.0 
GS139+06-054*   	      32000.0 	       8720.0 	       7394.0 	      41322.4 	       9200.0 
GS142-01-057   	      20300.0 	      12600.0 	       2381.0 	     105674.1 	      12400.0 
GS153-10-026*   	      15500.0 	      15500.0 	       4531.1 	       9742.6 	      10300.0 
GS130+00-068*   	      15200.0 	       8250.0 	       3012.6 	       7146.8 	       6200.0 
GS161+03-036   	     345000.0 	     194000.0 	      33560.5 	     286397.3 	       8200.0 
GS218-05+037*   	       8040.0 	       8030.0 	       3638.8 	      36010.1 	       5200.0 
GS224-18+036   	       2950.0 	       2190.0 	       1912.3 	      15286.9 	      16500.0 
GS240-13+064*   	      16000.0 	      14500.0 	       4429.4 	      16024.8 	      13400.0 
GS257+09+037   	      49900.0 	      28600.0 	       7910.9 	      56167.3 	      23700.0 
GS257-25+030*   	       5790.0 	       3040.0 	        807.6 	       8714.8 	      13400.0 
GS262-09+048*   	      55200.0 	      39500.0 	      24016.8 	      23987.8 	      17500.0 
GS264-04+044   	      39000.0 	      22300.0 	       2099.8 	      17628.1 	       7200.0 
GS252-04+074*   	     114000.0 	      78200.0 	      62393.5 	     245770.6 	       9300.0 
GS263-08+068*   	     137000.0 	     119000.0 	      33506.2 	     169507.9 	      17500.0 
GS089-21-025*   	      32600.0 	      40500.0 	      19482.5 	      55875.1 	      11300.0 
GS109+16-033*   	      65400.0 	      72400.0 	       5690.8 	      79576.1 	      42500.0 
GS120+08-028   	      32000.0 	      19700.0 	       4523.0 	      47517.7 	      27800.0 
GS153-10-026*   	      17800.0 	      10100.0 	       4531.1 	       9742.6 	      10300.0 
GS247+06+055*   	       8790.0 	      11200.0 	       1769.8 	      33907.9 	      11300.0 
GS246-05+086   	      26700.0 	      19400.0 	       4038.1 	       8897.0 	      12400.0 
GS142-01-057   	      78600.0 	     101000.0 	       2381.0 	     105674.1 	      12400.0 
268+00+108   	          NaN 	          NaN 	      41967.8 	     268041.6 	      11300.0 
268+06+036*   	          NaN 	          NaN 	       3364.9 	      30396.5 	      15500.0 
266-05+096*   	          NaN 	          NaN 	      58590.7 	     421804.6 	      13400.0 
265-10+080*   	          NaN 	          NaN 	       1123.4 	      28539.4 	      10300.0 
265+05+043*   	          NaN 	          NaN 	       2811.0 	      22916.3 	      10300.0 
264+23+019*   	          NaN 	          NaN 	       7323.9 	      23106.9 	       5200.0 
263-02+093   	          NaN 	          NaN 	      10820.0 	      39940.6 	       8200.0 
263+09+042*   	          NaN 	          NaN 	       1236.5 	      16646.9 	      18600.0 
262-08+091*   	          NaN 	          NaN 	       6675.6 	      61592.3 	      12400.0 
262-01+110   	          NaN 	          NaN 	       4779.7 	      72282.2 	       6200.0 
260-05+104   	          NaN 	          NaN 	       8402.3 	     130482.8 	       6200.0 
258+22+020   	          NaN 	          NaN 	       5139.9 	      17291.4 	      11300.0 
256+00+079   	          NaN 	          NaN 	       4327.0 	      41596.8 	       6200.0 
254-05+080   	          NaN 	          NaN 	      13586.4 	     119210.4 	       9300.0 
254+30+016*   	          NaN 	          NaN 	       6562.0 	      16608.3 	      13400.0 
