Name   	 Mass (hand)  	 Miss (hand) 	 Mass (alg)  	 Miss (alg) 	 dV
GS101-02-037   	     117000.0 	      66200.0 	      44442.4 	     146744.4 	      18600.0 
GS108-03-022   	      83100.0 	      52300.0 	      21374.8 	      89918.9 	      27800.0 
GS101+29-026   	      59300.0 	      49600.0 	      35144.3 	      65589.8 	      34000.0 
GS118+01-044   	      37900.0 	      51200.0 	      11949.6 	     247820.6 	      16500.0 
GS121-05-037   	     111000.0 	      58500.0 	      54668.5 	      97813.3 	      14400.0 
GS093-06-034   	      25600.0 	      12800.0 	      15152.4 	      88254.9 	      32000.0 
GS104+03-038   	      62000.0 	      39000.0 	       7088.4 	      38934.9 	      15500.0 
GS100-06-019   	      51600.0 	      27000.0 	       5849.7 	      20158.8 	       9300.0 
GS119-04-058   	      71000.0 	      48600.0 	      12060.8 	      70882.6 	      19600.0 
GS115-05-054   	      22400.0 	      18000.0 	      10706.8 	      30186.8 	      14400.0 
GS114-03-054   	      18600.0 	       9620.0 	      22117.4 	      59554.1 	      11300.0 
GS102-08-054   	     107000.0 	      60600.0 	      44866.4 	     157835.1 	      36100.0 
GS107+13-040   	      38000.0 	      20400.0 	      14086.6 	      33290.2 	      32000.0 
GS113-01-075   	      91000.0 	      46900.0 	      38734.0 	      61951.9 	      12400.0 
GS195+28+014   	       3090.0 	       2430.0 	       3296.4 	       3126.5 	       6200.0 
GS201-23+025   	       3990.0 	       2100.0 	       2542.5 	       2520.2 	       6200.0 
GS199-13+025   	       5350.0 	       2660.0 	       4315.8 	       7329.5 	       6200.0 
GS198-01+035   	      35700.0 	      20300.0 	      18844.5 	      81358.8 	       5200.0 
GS202+10+014   	       6400.0 	       3740.0 	       4137.5 	       8072.8 	      12400.0 
GS140-03-079   	     297000.0 	     153000.0 	     170323.3 	    1123326.3 	      14400.0 
GS141-10-042   	      28800.0 	      18500.0 	      32150.2 	      32232.9 	      10300.0 
GS144-03-054   	       6180.0 	       3190.0 	      20148.0 	      42761.2 	      12400.0 
GS138+02-053   	      26200.0 	      13800.0 	      19502.5 	      67984.4 	      12400.0 
GS136-09-033   	      22500.0 	      13000.0 	       7234.8 	      31502.7 	      11300.0 
GS227+05+051   	       7780.0 	       4100.0 	      12772.1 	      40482.2 	      14400.0 
GS229+03+073   	      22200.0 	      12200.0 	       9468.7 	      25994.1 	      13400.0 
GS221-03+045   	      27500.0 	      14000.0 	      18823.2 	      76867.6 	       7200.0 
GS230-06+040   	      63500.0 	      35500.0 	      14266.6 	     367496.9 	      10300.0 
GS222+13+026   	       5580.0 	       4010.0 	       6529.5 	      14973.9 	      10300.0 
GS240+05+033   	       5270.0 	       3970.0 	       6131.9 	       7397.9 	       8200.0 
GS259-08+090   	     109000.0 	      66500.0 	      75016.7 	     222626.6 	      15500.0 
GS246+07+048   	       5930.0 	       5720.0 	       8557.6 	      16867.9 	      12400.0 
GS256-16+055   	      11700.0 	       7650.0 	       6718.7 	      12518.4 	      12400.0 
GS253-12+053   	      45600.0 	      29500.0 	      11347.2 	      29562.4 	      24700.0 
GS265-06+082   	     128000.0 	      67500.0 	      78990.3 	     306127.8 	      11300.0 
GS260-04+081   	      37200.0 	      37000.0 	      17801.0 	     105342.7 	      12400.0 
GS269+04+044   	      21600.0 	      15500.0 	      27653.4 	     200190.1 	      21700.0 
GS253+07+062   	     100000.0 	      51800.0 	      38800.1 	     200777.8 	      19600.0 
GS261-03+055   	      24900.0 	      16500.0 	      13351.6 	     191293.2 	       9300.0 
GS257+00+067   	      20100.0 	      11800.0 	      21002.4 	      45717.6 	       7200.0 
GS263+10+020   	      13300.0 	      13900.0 	       8866.1 	      36177.9 	      15500.0 
GS164+00-021   	      30800.0 	      19800.0 	      13140.3 	      71486.1 	       9300.0 
GS129+05-061   	     211000.0 	     167000.0 	      70910.6 	     204267.9 	      18600.0 
GS135-09-056   	      54400.0 	      47700.0 	      18139.4 	     154861.9 	      13400.0 
GS153+02-047   	      24600.0 	      14000.0 	      16167.8 	      85372.5 	       9300.0 
GS133-07-045   	     158000.0 	      97500.0 	      42441.8 	     426299.2 	      13400.0 
GS240+00+035   	       4830.0 	       4690.0 	       3536.9 	      10274.1 	       7200.0 
GS232+02+081   	      32600.0 	      17200.0 	      12575.8 	      27076.5 	       9300.0 
GS247+00+086   	      74700.0 	      37500.0 	      20171.5 	     112877.1 	      13400.0 
GS239-02+068   	      72100.0 	      46900.0 	      27616.2 	     221999.9 	      14400.0 
GS146-11-045   	       4120.0 	       2210.0 	       6230.8 	      12221.7 	      32000.0 
GS137+03-063   	      42400.0 	      22400.0 	      30827.3 	     105191.6 	       6200.0 
GS124-09-043   	      42500.0 	      23000.0 	      17575.8 	     177107.1 	      39200.0 
GS122-02-077   	     192000.0 	     153000.0 	      64331.5 	     280198.2 	      16500.0 
GS105-12-040   	      24200.0 	      23300.0 	      10746.1 	      17776.1 	      28900.0 
GS113-14-042   	      36400.0 	      32100.0 	      24046.6 	      66554.0 	      15500.0 
GS108+03-088   	      32600.0 	      16800.0 	      22889.5 	      35678.8 	      13400.0 
GS107+02-069   	      71400.0 	      44000.0 	      15232.8 	      47084.2 	      13400.0 
GS146-11-025   	      12100.0 	       9110.0 	      23788.7 	      63986.6 	      14500.0 
GS164+00-021   	      28800.0 	      30700.0 	      13140.3 	      71486.1 	       9300.0 
GS114-05-062   	      42100.0 	      39400.0 	      25308.7 	      44042.7 	      14400.0 
GS144+08-031   	      65100.0 	      35000.0 	      18168.4 	     184863.8 	      18600.0 
269-01+080   	          NaN 	          NaN 	      33717.4 	     170611.7 	      12400.0 
268-01+066   	          NaN 	          NaN 	      68492.0 	     158369.6 	      10300.0 
267-03+117   	          NaN 	          NaN 	     165419.5 	     209903.4 	       5200.0 
266+07+029   	          NaN 	          NaN 	       2358.4 	       9564.2 	      12400.0 
265-03+108   	          NaN 	          NaN 	      11365.2 	      27739.7 	       6200.0 
265-11+024   	          NaN 	          NaN 	       6125.4 	      12091.6 	       6200.0 
264-06+100   	          NaN 	          NaN 	      10337.0 	      35726.6 	       5200.0 
264-02+067   	          NaN 	          NaN 	       5812.9 	      10910.4 	       5200.0 
264-02+125   	          NaN 	          NaN 	      46142.6 	     122518.9 	      12400.0 
263+00+064   	          NaN 	          NaN 	       3995.4 	      22824.1 	       9300.0 
263+00+048   	          NaN 	          NaN 	      68657.6 	     257195.8 	      13400.0 
263-04+121   	          NaN 	          NaN 	      23660.8 	      43385.6 	       6200.0 
263-03+094   	          NaN 	          NaN 	       2705.1 	      42361.6 	      10300.0 
262+05+046   	          NaN 	          NaN 	       2809.9 	      13365.0 	       6200.0 
262+00+092   	          NaN 	          NaN 	      19049.8 	      31898.5 	       6200.0 
261+30+022   	          NaN 	          NaN 	       6454.0 	       6394.2 	      11300.0 
260+00+098   	          NaN 	          NaN 	     188931.3 	     190653.4 	       8300.0 
259-17+012   	          NaN 	          NaN 	       1694.5 	      16551.9 	       9300.0 
258-05+090   	          NaN 	          NaN 	      15247.4 	     149981.8 	      10300.0 
257-04+107   	          NaN 	          NaN 	      92954.7 	     499933.6 	       9300.0 
257-30+021   	          NaN 	          NaN 	      12376.3 	      12263.4 	      10300.0 
256-05+052   	          NaN 	          NaN 	       5818.7 	      83731.1 	       7200.0 
256+01+099   	          NaN 	          NaN 	      16612.4 	      63172.4 	       9300.0 
255+21+015   	          NaN 	          NaN 	       8939.2 	      18944.2 	      14400.0 
255-04+064   	          NaN 	          NaN 	      37101.3 	     399801.0 	      15500.0 
255-01+055   	          NaN 	          NaN 	       3892.9 	      47520.4 	      13400.0 
254-13+023   	          NaN 	          NaN 	       3352.6 	      21221.2 	      10300.0 
253-03+044   	          NaN 	          NaN 	       1305.1 	      34433.7 	       9300.0 
253+04+091   	          NaN 	          NaN 	      12695.5 	      42858.8 	      15500.0 
253-02+104   	          NaN 	          NaN 	       7825.0 	      26912.0 	      10300.0 
252-09+072   	          NaN 	          NaN 	       7355.7 	       7322.6 	       7200.0 
251-08+054   	          NaN 	          NaN 	      20553.3 	      37143.7 	      15500.0 
