Name   	 Shell  
132-28-031   	   0.57686850 
131+05-071   	   1.63921122 
131+03-056   	  10.59470790 
130-17-048   	   0.81617820 
130+04-088   	   1.96246404 
129+01-108   	   1.30808796 
129+06-086   	   1.19424442 
129-01-114   	   0.66778453 
129+09-069   	   1.57766554 
128+03-081   	   3.63534799 
128+06-111   	   0.64054756 
128+04-099   	   1.05388050 
127-02-100   	   0.92142726 
127+05-094   	   0.95196158 
127+05-040   	   3.28445312 
127+09-079   	   1.03563460 
125+04-076   	   3.66370732 
124+09-064   	   1.59025188 
124+14-026   	   1.01009563 
123+06-109   	   1.53467267 
123+12-076   	   0.95897769 
122+06-077   	   1.13639344 
122+09-042   	   4.39349495 
122+02-077   	   6.61967429 
122+14-060   	   1.52629696 
121+02-119   	   0.61484429 
121+00-076   	   3.41456052 
121+04-090   	   2.12779988 
120-05-073   	   0.85408058 
120+06-105   	   2.03961428 
120+04-085   	   2.36315719 
118+06-096   	   0.97362916 
118+02-115   	   1.09234505 
118+02-076   	   3.29721693 
118+05-069   	   5.97279922 
118+11-061   	   1.31154314 
117-02-121   	   0.63774523 
117-02-071   	   2.37772834 
116+03-081   	   4.13165413 
116+01-103   	   3.31445784 
116-07-068   	   1.12540163 
115+26-064   	   0.36483268 
115+13-036   	   1.16573015 
115+08-127   	   0.28658915 
114+36-075   	   0.51856775 
114-09-029   	   2.04118079 
113+06-122   	   0.86897924 
113+02-053   	  12.68184394 
113-03-114   	   0.45260794 
112+02-092   	   3.54975022 
112+01-102   	   4.26612557 
111-02-107   	   0.47778765 
111+08-041   	   2.88488055 
111+01-078   	   2.74456989 
111-03-083   	   1.17869744 
111+17-029   	   0.97295680 
110+04-061   	   3.51709108 
110+00-069   	   1.42467392 
110+06-068   	   2.40549619 
110+02-043   	   9.71693845 
110+03-133   	   0.50641821 
109-08-065   	   0.71150342 
108+04-057   	   4.26348673 
107+20-030   	   0.68315549 
106-04-086   	   0.70086720 
105+24-046   	   0.77499432 
104+01-070   	   6.08035732 
104+03-069   	   4.02696727 
104+04-081   	   3.09514067 
104-24-023   	   0.74112151 
103+06-074   	   3.17063245 
103+03-111   	   1.46861923 
103+37-056   	   0.69761476 
102+03-111   	   3.10285873 
102-01-058   	   8.21246735 
102+04-060   	   6.67504770 
102-27-042   	   0.38141458 
102+33-053   	   1.13310654 
102+01-065   	   3.73894339 
100+35-030   	   0.45549525 
100+03-099   	   3.90300135 
100+00-077   	   3.66057703 
099-02-055   	   3.45023857 
099+02-060   	   9.56986992 
099+03-093   	   3.46171307 
099+05-080   	   2.61828868 
099+02-070   	   5.28882637 
098+06-128   	   0.71112848 
098+03-115   	   1.77454124 
097+00-070   	   6.01777551 
096+16-025   	   1.12183109 
095+03-099   	   2.13821098 
095+02-078   	   4.63397345 
095+02-062   	   3.32419920 
095+09-023   	   1.90404231 
094+05-104   	   2.10480132 
094+03-110   	   2.54456694 
093+03-031   	   4.55632397 
092+00-062   	  11.71829311 
092+06-070   	   1.39167168 
091+03-090   	   5.96874202 
091+00-069   	   3.28171818 
091+05-078   	   2.73065724 
091-01-056   	   6.70003457 
090+09-077   	   0.61389312 
