Name   	 Mass (hand)  	 Miss (hand) 	 Mass (alg)  	 Miss (alg) 	 dV
GS103+07-018*   	      85400.0 	      82800.0 	      14756.2 	     231573.4 	      20600.0 
GS116-06-042*   	      24900.0 	      18900.0 	       9607.9 	      67316.8 	      16500.0 
GS093-14-021*   	      88800.0 	      45000.0 	      11868.0 	     125897.1 	      22700.0 
GS120+16-067*   	      65400.0 	      37900.0 	      11277.3 	      47745.1 	      22700.0 
GS109+06-032   	      25000.0 	      16500.0 	       5782.4 	      44603.6 	      20600.0 
GS098-25-018*   	      10800.0 	      10800.0 	       2459.8 	      13416.6 	      21600.0 
GS100+09-040*   	      53400.0 	      29900.0 	      14487.3 	      98547.3 	      14400.0 
GS093+11-034*   	      25400.0 	      12800.0 	       7170.2 	      18399.9 	      19600.0 
GS098+24-032   	       9550.0 	       8060.0 	       3492.7 	      26593.2 	      27800.0 
GS101-13-056*   	     240000.0 	     169000.0 	      31064.5 	     228305.0 	      36100.0 
GS105-03-061   	     224000.0 	     124000.0 	      24794.0 	      72399.0 	      16500.0 
GS110-04-067   	      78000.0 	      71500.0 	      23383.3 	     130810.1 	      32000.0 
GS108+00-075*   	      46700.0 	      28600.0 	      24179.4 	     147379.2 	      18600.0 
GS117+08-076*   	      54900.0 	      39200.0 	       9064.2 	     130309.4 	      19600.0 
GS202+05+031   	      17400.0 	       9220.0 	      10830.3 	      97586.8 	      20600.0 
GS139+06-054*   	      32000.0 	       8720.0 	       9103.1 	      45269.9 	       9200.0 
GS142-01-057   	      20300.0 	      12600.0 	       5647.6 	     135134.2 	      12400.0 
GS153-10-026*   	      15500.0 	      15500.0 	       6056.4 	       9431.4 	      10300.0 
GS130+00-068*   	      15200.0 	       8250.0 	       9013.7 	       8442.2 	       6200.0 
GS161+03-036   	     345000.0 	     194000.0 	      45627.6 	     294262.3 	       8200.0 
GS218-05+037*   	       8040.0 	       8030.0 	       4758.8 	      36606.2 	       5200.0 
GS224-18+036   	       2950.0 	       2190.0 	       1820.4 	      15385.7 	      16500.0 
GS240-13+064*   	      16000.0 	      14500.0 	       8550.6 	      13996.0 	      13400.0 
GS257+09+037   	      49900.0 	      28600.0 	       7043.7 	      56767.7 	      23700.0 
GS257-25+030*   	       5790.0 	       3040.0 	       2123.7 	       8124.3 	      13400.0 
GS262-09+048*   	      55200.0 	      39500.0 	      23583.8 	      23172.1 	      17500.0 
GS264-04+044   	      39000.0 	      22300.0 	       7399.0 	      21900.4 	       7200.0 
GS252-04+074*   	     114000.0 	      78200.0 	      55363.3 	     248120.5 	       9300.0 
GS263-08+068*   	     137000.0 	     119000.0 	      21199.8 	     179209.7 	      17500.0 
GS089-21-025*   	      32600.0 	      40500.0 	       6161.8 	      71555.7 	      11300.0 
GS109+16-033*   	      65400.0 	      72400.0 	       5452.3 	      79878.9 	      42500.0 
GS120+08-028   	      32000.0 	      19700.0 	       3178.6 	      45085.2 	      27800.0 
GS153-10-026*   	      17800.0 	      10100.0 	       6056.4 	       9431.4 	      10300.0 
GS247+06+055*   	       8790.0 	      11200.0 	       7324.1 	      34907.2 	      11300.0 
GS246-05+086   	      26700.0 	      19400.0 	      12233.4 	       6599.0 	      12400.0 
GS142-01-057   	      78600.0 	     101000.0 	       5647.6 	     135134.2 	      12400.0 
268+00+108   	          NaN 	          NaN 	      99700.8 	     268675.7 	      11300.0 
268+06+036*   	          NaN 	          NaN 	       8859.2 	      27217.1 	      15500.0 
266-05+096*   	          NaN 	          NaN 	     125108.9 	     402331.3 	      13400.0 
265-10+080*   	          NaN 	          NaN 	       4173.1 	      29724.9 	      10300.0 
265+05+043*   	          NaN 	          NaN 	       2811.0 	      22916.3 	      10300.0 
264+23+019*   	          NaN 	          NaN 	       2884.0 	      24461.6 	       5200.0 
263-02+093   	          NaN 	          NaN 	      47842.3 	      46153.3 	       8200.0 
263+09+042*   	          NaN 	          NaN 	       1472.8 	      17499.2 	      18600.0 
262-08+091*   	          NaN 	          NaN 	      17102.8 	      66924.6 	      12400.0 
262-01+110   	          NaN 	          NaN 	      40728.6 	      64895.7 	       6200.0 
260-05+104   	          NaN 	          NaN 	      33442.4 	     142034.6 	       6200.0 
258+22+020   	          NaN 	          NaN 	       2769.4 	      19451.3 	      11300.0 
256+00+079   	          NaN 	          NaN 	      22147.2 	      45606.4 	       6200.0 
254-05+080   	          NaN 	          NaN 	      17254.2 	     122606.3 	       9300.0 
254+30+016*   	          NaN 	          NaN 	       1248.6 	      22608.9 	      13400.0 
252-03+039   	          NaN 	          NaN 	       7049.5 	      42781.7 	      10300.0 
