Name   	 Shell  
GS103+07-018*   	   1.68770652 
GS116-06-042*   	   1.75982529 
GS093-14-021*   	   1.64969979 
GS120+16-067*   	   0.82842489 
GS109+06-032   	   1.26581049 
GS098-25-018*   	   0.50571702 
GS100+09-040*   	   1.56279712 
GS093+11-034*   	   0.86634712 
GS098+24-032   	   0.83277118 
GS101-13-056*   	   0.38333469 
GS105-03-061   	   1.19497705 
GS110-04-067   	   0.51069648 
GS108+00-075*   	   0.12914885 
GS117+08-076*   	   0.31736513 
GS202+05+031   	   0.15480518 
GS139+06-054*   	   1.52582294 
GS142-01-057   	   0.11013080 
GS153-10-026*   	   1.57343449 
GS130+00-068*   	   1.40148729 
GS161+03-036   	   5.66272691 
GS218-05+037*   	   8.80501033 
GS224-18+036   	   0.26823005 
GS240-13+064*   	   0.60976339 
GS257+09+037   	   0.80280655 
GS257-25+030*   	   0.36074640 
GS262-09+048*   	   0.67885414 
GS264-04+044   	   1.46362061 
GS252-04+074*   	   1.04980733 
GS263-08+068*   	   0.82724715 
GS089-21-025*   	   0.65075616 
GS109+16-033*   	   0.59923884 
GS120+08-028   	   0.42183183 
GS153-10-026*   	   1.57343449 
GS247+06+055*   	   0.11001736 
GS246-05+086   	   1.07107033 
GS142-01-057   	   0.11013080 
268+00+108   	   2.23638474 
268+06+036*   	   0.97687186 
266-05+096*   	   5.32616998 
265-10+080*   	   0.44225666 
265+05+043*   	   0.77528238 
264+23+019*   	   0.84454575 
263-02+093   	   3.59684508 
263+09+042*   	   0.79520200 
262-08+091*   	   0.73353314 
262-01+110   	   1.70151042 
260-05+104   	   1.95028186 
258+22+020   	   0.71737291 
256+00+079   	   4.20101169 
254-05+080   	   1.11489895 
254+30+016*   	   0.48672090 
252-03+039   	   6.19652142 
252+02+052*   	   1.83900712 
252-21+031*   	   0.16725920 
252+04+064*   	   1.42192743 
251-02+111   	   1.50173807 
250-14+055*   	   0.04658199 
247-13+045*   	   0.27409667 
246-01+109   	   1.10606889 
246-06+055   	   4.03537968 
246+00+100   	   0.42590983 
243-15+047*   	   0.52143391 
243-10+053   	   0.94255474 
243+06+047*   	   0.98650893 
241-19+035*   	   0.30335095 
241+08+066   	   0.37169493 
240-08+051   	   0.09660039 
238+02+068*   	   3.08843294 
238-07+057   	   0.76585408 
237+11+032*   	   0.44688333 
235-03+083   	   2.97645933 
231+01+087   	   0.35035584 
229-02+094   	   0.47450497 
226-07+039   	   0.03258408 
224+07+038   	   0.26008322 
220+00+048   	   3.48206430 
219-27+023*   	   0.60717920 
218+03+055   	   0.73351802 
217-03+065   	   1.30705206 
216-21+035*   	   0.41050781 
215-11+033   	   3.38551046 
208-36+016*   	   0.30652140 
206+07+051   	   0.59748206 
203+09+025*   	   0.60577864 
202+05+031   	   0.15480518 
199-39+022   	   0.19520869 
199+02+033   	   1.86229492 
163+09-048   	   0.82391552 
158-27-039   	   0.14219661 
157-02-049   	   0.66640111 
157+03-044   	   0.07080116 
156+32-053   	   0.26439269 
154+35-057   	   0.31513201 
154+00-071   	   0.41935018 
153+34-052   	   0.41213295 
153-05-029*   	   1.49375955 
152-03-078   	   0.78947816 
150+05-058   	   0.07899268 
147+41-056   	   0.58584019 
147-09-056   	   1.23317947 
146+06-045*   	   1.80431760 
146-05-078   	   0.64194091 
146-48-016   	   0.11930020 
145+38-058   	   0.69453353 
145-09-066   	   0.83699949 
142-15-030*   	   0.30908547 
141-05-041*   	   0.10696572 
141+18-057   	   0.27653968 
139+09-067   	   0.34820498 
138+08-077   	   0.26386481 
137+06-029*   	   2.97966527 
136+05-102   	   0.41162520 
136-04-077   	   1.27632565 
135+08-057   	   0.24842785 
135+05-081   	   0.14236386 
135+02-090   	   1.46718397 
134+11-044*   	   0.70399357 
133-03-063   	   2.02848275 
132+04-106   	   0.53589034 
132-01-078   	   0.11212676 
132+01-109   	   0.72471212 
131-05-067*   	   1.37950476 
130-04-096   	   0.67388676 
130+00-101   	   2.26077397 
128-07-066*   	   0.90759931 
128+01-103   	   2.23439820 
127-01-082   	   4.85769821 
127-02-069   	   0.49703759 
127-05-066*   	   0.37024823 
126+00-112   	   0.19603774 
126+05-123   	   0.07517698 
126+01-061   	   2.52295964 
125-04-072   	   0.38970102 
123+01-060*   	   0.95321365 
121+24-023*   	   0.58450473 
120+02-059*   	   4.10459395 
120+03-095   	   2.81267929 
120-17-043*   	   0.17861477 
116+02-061*   	   3.79076032 
116+06-059*   	   1.32226399 
116+04-089   	   1.42020681 
116-09-062*   	   0.73219328 
115-01-059   	   1.86294876 
115+04-048*   	   3.46449224 
114+02-112   	   1.30408997 
114-01-099   	   0.55755057 
114+00-044*   	   8.49430535 
113+18-023   	   1.24165757 
113-02-107   	   1.01141592 
113+01-086*   	   0.32330410 
113+09-077*   	   0.56314880 
113+05-063   	   1.98801228 
112+08-130   	   0.34840303 
112+20-035*   	   0.57796384 
111+04-109   	   2.02060353 
111+08-075*   	   0.55205064 
111+33-081   	   0.19349720 
111+03-080   	   1.99213856 
110+02-117   	   0.84810813 
110+05-114   	   0.25794089 
108+24-029   	   0.56248438 
107+04-052*   	   1.13815972 
107+07-107   	   1.32462707 
107+09-128   	   0.46947548 
107+07-119   	   0.77806637 
106-10-043*   	   0.82242724 
105+09-021   	   0.20335887 
104-20-035*   	   0.39213445 
104+06-092*   	   0.07839221 
103+08-129   	   0.38503884 
103+03-113   	   0.88295631 
102+00-085*   	   0.54882234 
101+26-042*   	   0.18875448 
100+05-101   	   0.07293143 
100+29-042*   	   0.50125056 
100+37-057   	   0.60055756 
099-09-030*   	   0.60217552 
098-01-046*   	   4.02865493 
098+01-048*   	   7.84491670 
097+00-028   	   5.01165739 
094+08-043*   	   0.28763290 
092+03-113   	   0.87012396 
091+08-035*   	   0.82674741 
091-04-067*   	   0.86873142 
091+06-115   	   1.61194668 
