Name   	 Mass (hand)  	 Miss (hand) 	 Mass (alg)  	 Miss (alg)
GS101-02-037   	     117000.0 	      66200.0 	      53809.0 	      48691.3 
GS108-03-022   	      83100.0 	      52300.0 	      68969.7 	      68985.7 
GS101+29-026   	      59300.0 	      49600.0 	      61376.8 	      61385.0 
GS118+01-044   	      37900.0 	      51200.0 	     126195.7 	     124588.3 
GS121-05-037   	     111000.0 	      58500.0 	      50878.9 	      51056.7 
GS093-06-034   	      25600.0 	      12800.0 	      46029.5 	      41393.1 
GS104+03-038   	      62000.0 	      39000.0 	      42760.9 	      42755.1 
GS100-06-019   	      51600.0 	      27000.0 	      11446.1 	      11472.7 
GS119-04-058   	      71000.0 	      48600.0 	      77467.0 	      78023.9 
GS115-05-054   	      22400.0 	      18000.0 	      15656.2 	      15793.7 
GS114-03-054   	      18600.0 	       9620.0 	      48982.0 	      48988.3 
GS102-08-054   	     107000.0 	      60600.0 	      81044.7 	      49278.1 
GS107+13-040   	      38000.0 	      20400.0 	      19380.9 	      20609.4 
GS113-01-075   	      91000.0 	      46900.0 	      64989.0 	      65056.4 
GS195+28+014   	       3090.0 	       2430.0 	       3950.4 	       3952.7 
GS201-23+025   	       3990.0 	       2100.0 	       1412.9 	       1143.6 
GS199-13+025   	       5350.0 	       2660.0 	       7790.6 	       6544.4 
GS198-01+035   	      35700.0 	      20300.0 	      57475.7 	      57623.4 
GS202+10+014   	       6400.0 	       3740.0 	       1237.0 	       1244.5 
GS140-03-079   	     297000.0 	     153000.0 	     455270.6 	     455338.3 
GS141-10-042   	      28800.0 	      18500.0 	      33630.4 	      33563.5 
GS144-03-054   	       6180.0 	       3190.0 	      18428.9 	      18513.2 
GS138+02-053   	      26200.0 	      13800.0 	      51332.8 	      40219.0 
GS136-09-033   	      22500.0 	      13000.0 	       4650.4 	       4639.7 
GS227+05+051   	       7780.0 	       4100.0 	      15754.6 	      15705.9 
GS229+03+073   	      22200.0 	      12200.0 	      25817.7 	      25786.8 
GS221-03+045   	      27500.0 	      14000.0 	      34532.3 	      34887.6 
GS230-06+040   	      63500.0 	      35500.0 	     150036.2 	     151338.2 
GS222+13+026   	       5580.0 	       4010.0 	       8738.1 	       8736.8 
GS240+05+033   	       5270.0 	       3970.0 	       5046.2 	       5020.3 
GS259-08+090   	     109000.0 	      66500.0 	     145226.9 	     145286.9 
GS246+07+048   	       5930.0 	       5720.0 	       7874.1 	       7887.7 
GS256-16+055   	      11700.0 	       7650.0 	       4079.1 	       4089.1 
GS253-12+053   	      45600.0 	      29500.0 	       4658.4 	       4220.1 
GS265-06+082   	     128000.0 	      67500.0 	      53845.7 	      52237.5 
GS260-04+081   	      37200.0 	      37000.0 	      17721.1 	      17609.0 
GS269+04+044   	      21600.0 	      15500.0 	      58482.0 	      58451.5 
GS253+07+062   	     100000.0 	      51800.0 	      65770.6 	      65719.7 
GS261-03+055   	      24900.0 	      16500.0 	      24076.2 	      24069.3 
GS257+00+067   	      20100.0 	      11800.0 	      16479.4 	      16497.2 
GS263+10+020   	      13300.0 	      13900.0 	      16096.3 	      16049.5 
GS164+00-021   	      30800.0 	      19800.0 	      45096.5 	      50425.4 
GS129+05-061   	     211000.0 	     167000.0 	      41240.8 	      28563.8 
GS135-09-056   	      54400.0 	      47700.0 	     117383.7 	     117337.1 
GS153+02-047   	      24600.0 	      14000.0 	      60460.6 	      60032.6 
GS133-07-045   	     158000.0 	      97500.0 	     126359.6 	     124163.8 
GS240+00+035   	       4830.0 	       4690.0 	       2280.2 	       2283.4 
GS232+02+081   	      32600.0 	      17200.0 	      20960.6 	      21409.1 
GS247+00+086   	      74700.0 	      37500.0 	      54494.9 	      45396.2 
GS239-02+068   	      72100.0 	      46900.0 	     182621.8 	     151894.8 
GS146-11-045   	       4120.0 	       2210.0 	      17631.6 	       5356.2 
GS137+03-063   	      42400.0 	      22400.0 	      45802.0 	      45779.4 
GS124-09-043   	      42500.0 	      23000.0 	     147179.3 	     147482.0 
GS122-02-077   	     192000.0 	     153000.0 	      37839.9 	      34954.8 
GS105-12-040   	      24200.0 	      23300.0 	      11451.4 	      11329.4 
GS113-14-042   	      36400.0 	      32100.0 	      40660.8 	      40663.9 
GS108+03-088   	      32600.0 	      16800.0 	      66946.4 	      41449.6 
GS107+02-069   	      71400.0 	      44000.0 	      20868.5 	      20917.8 
GS146-11-025   	      12100.0 	       9110.0 	      61346.7 	      61455.0 
GS164+00-021   	      28800.0 	      30700.0 	      45096.5 	      50425.4 
GS114-05-062   	      42100.0 	      39400.0 	      16869.7 	      15258.2 
GS144+08-031   	      65100.0 	      35000.0 	      38444.0 	      38458.8 
